Tokens reconocidos:
Línea 51: NUMBER -> 5
Línea 51: SEMICOLON -> ;
Línea 51: ID -> i
Línea 51: PLUSPLUS -> ++
Línea 51: RPAREN -> )
Línea 52: LBRACE -> {
Línea 53: CONSOLE -> Console
Línea 53: DOT -> .
Línea 53: WRITELINE -> WriteLine
Línea 53: LPAREN -> (
Línea 53: ID -> i
Línea 53: RPAREN -> )
Línea 53: SEMICOLON -> ;
Línea 54: RBRACE -> }
Línea 57: IF -> if
Línea 57: LPAREN -> (
Línea 57: ID -> a
Línea 57: RPAREN -> )
Línea 58: LBRACE -> {
Línea 59: CONSOLE -> Console
Línea 59: DOT -> .
Línea 59: WRITELINE -> WriteLine
Línea 59: LPAREN -> (
Línea 59: STRING -> Verdadero
Línea 59: RPAREN -> )
Línea 59: SEMICOLON -> ;
Línea 60: RBRACE -> }
Línea 61: ELSE -> else
Línea 62: LBRACE -> {
Línea 63: CONSOLE -> Console
Línea 63: DOT -> .
Línea 63: WRITELINE -> WriteLine
Línea 63: LPAREN -> (
Línea 63: STRING -> Falso
Línea 63: RPAREN -> )
Línea 63: SEMICOLON -> ;
Línea 64: RBRACE -> }
Línea 67: STRINGTYPE -> string
Línea 67: ID -> entrada
Línea 67: EQUALS -> =
Línea 67: CONSOLE -> Console
Línea 67: DOT -> .
Línea 67: READLINE -> ReadLine
Línea 67: LPAREN -> (
Línea 67: RPAREN -> )
Línea 67: SEMICOLON -> ;
Línea 68: INT -> int
Línea 68: ID -> num
Línea 68: EQUALS -> =
Línea 68: INT -> int
Línea 68: DOT -> .
Línea 68: PARSE -> Parse
Línea 68: LPAREN -> (
Línea 68: CONSOLE -> Console
Línea 68: DOT -> .
Línea 68: READLINE -> ReadLine
Línea 68: LPAREN -> (
Línea 68: RPAREN -> )
Línea 68: RPAREN -> )
Línea 68: SEMICOLON -> ;
Línea 71: RETURN -> return
Línea 71: SEMICOLON -> ;
Línea 72: RBRACE -> }
Línea 74: PUBLIC -> public
Línea 74: VOID -> void
Línea 74: ID -> Saludar
Línea 74: LPAREN -> (
Línea 74: RPAREN -> )
Línea 75: LBRACE -> {
Línea 76: CONSOLE -> Console
Línea 76: DOT -> .
Línea 76: WRITELINE -> WriteLine
Línea 76: LPAREN -> (
Línea 76: STRING -> ¡Hola desde Saludar!
Línea 76: RPAREN -> )
Línea 76: SEMICOLON -> ;
Línea 77: RBRACE -> }
Línea 79: PRIVATE -> private
Línea 79: INT -> int
Línea 79: ID -> Sumar
Línea 79: LPAREN -> (
Línea 79: INT -> int
Línea 79: ID -> a
Línea 79: COMMA -> ,
Línea 79: INT -> int
Línea 79: ID -> b
Línea 79: RPAREN -> )
Línea 80: LBRACE -> {
Línea 81: RETURN -> return
Línea 81: ID -> a
Línea 81: PLUS -> +
Línea 81: ID -> b
Línea 81: SEMICOLON -> ;
Línea 82: RBRACE -> }
Línea 84: PROTECTED -> protected
Línea 84: VOID -> void
Línea 84: ID -> MetodoProtegido
Línea 84: LPAREN -> (
Línea 84: RPAREN -> )
Línea 85: LBRACE -> {
Línea 87: RBRACE -> }
Línea 89: CLASS -> class
Línea 89: ID -> Interna
Línea 90: LBRACE -> {
Línea 91: PUBLIC -> public
Línea 91: INT -> int
Línea 91: ID -> valor
Línea 91: SEMICOLON -> ;
Línea 92: RBRACE -> }
Línea 93: RBRACE -> }
