Tokens reconocidos:
Línea 1: USING -> using
Línea 1: ID -> System
Línea 1: SEMICOLON -> ;
Línea 3: INT -> int
Línea 3: ID -> a
Línea 3: EQUALS -> =
Línea 3: NUMBER -> 5
Línea 3: SEMICOLON -> ;
Línea 4: DOUBLE -> double
Línea 4: ID -> b
Línea 4: EQUALS -> =
Línea 4: NUMBER -> 3.14
Línea 4: SEMICOLON -> ;
Línea 5: BOOL -> bool
Línea 5: ID -> flag
Línea 5: EQUALS -> =
Línea 5: TRUE -> true
Línea 5: SEMICOLON -> ;
Línea 6: STRINGTYPE -> string
Línea 6: ID -> mensaje
Línea 6: EQUALS -> =
Línea 6: STRING -> Hola
Línea 6: SEMICOLON -> ;
Línea 7: CHAR -> char
Línea 7: ID -> c
Línea 7: EQUALS -> =
Línea 7: CHAR -> x
Línea 7: SEMICOLON -> ;
Línea 8: VAR -> var
Línea 8: ID -> lista
Línea 8: EQUALS -> =
Línea 8: NEW -> new
Línea 8: LIST -> List
Línea 8: LT -> <
Línea 8: INT -> int
Línea 8: GT -> >
Línea 8: LPAREN -> (
Línea 8: RPAREN -> )
Línea 8: SEMICOLON -> ;
Línea 10: VOID -> void
Línea 10: ID -> Saludar
Línea 10: LPAREN -> (
Línea 10: RPAREN -> )
Línea 10: LBRACE -> {
Línea 11: CONSOLE -> Console
Línea 11: DOT -> .
Línea 11: WRITELINE -> WriteLine
Línea 11: LPAREN -> (
Línea 11: ID -> mensaje
Línea 11: RPAREN -> )
Línea 11: SEMICOLON -> ;
Línea 12: RBRACE -> }
Línea 14: ID -> a
Línea 14: PLUSPLUS -> ++
Línea 14: SEMICOLON -> ;
Línea 15: ID -> b
Línea 15: MINUSMINUS -> --
Línea 15: SEMICOLON -> ;
Línea 17: FOR -> for
Línea 17: LPAREN -> (
Línea 17: INT -> int
Línea 17: ID -> i
Línea 17: EQUALS -> =
Línea 17: NUMBER -> 0
Línea 17: SEMICOLON -> ;
Línea 17: ID -> i
Línea 17: LT -> <
Línea 17: NUMBER -> 10
Línea 17: SEMICOLON -> ;
Línea 17: ID -> i
Línea 17: PLUSPLUS -> ++
Línea 17: RPAREN -> )
Línea 17: LBRACE -> {
Línea 18: CONSOLE -> Console
Línea 18: DOT -> .
Línea 18: WRITELINE -> WriteLine
Línea 18: LPAREN -> (
Línea 18: ID -> i
Línea 18: RPAREN -> )
Línea 18: SEMICOLON -> ;
Línea 19: RBRACE -> }
Línea 21: IF -> if
Línea 21: LPAREN -> (
Línea 21: ID -> flag
Línea 21: RPAREN -> )
Línea 21: LBRACE -> {
Línea 22: ID -> Saludar
Línea 22: LPAREN -> (
Línea 22: RPAREN -> )
Línea 22: SEMICOLON -> ;
Línea 23: RBRACE -> }
Línea 23: ELSE -> else
Línea 23: LBRACE -> {
Línea 24: CONSOLE -> Console
Línea 24: DOT -> .
Línea 24: WRITELINE -> WriteLine
Línea 24: LPAREN -> (
Línea 24: STRING -> No saludo
Línea 24: RPAREN -> )
Línea 24: SEMICOLON -> ;
Línea 25: RBRACE -> }
